,제목,장르,년도,줄거리,평점,연령 등급
151,스터츠: 마음을 다스리는 마스터,다큐멘터리,(2022),"저명한 정신과의사 필 스터츠가 배우 조나 힐과 만나 진솔한 대화를 나눈다. 조나 힐의 어린 시절 경험을 들어보고, 시각적 모델을 활용한 독특한 치료법을 시도하는 시간.",7.8 (13k),15
152,스콧 필그림,"코미디, 로맨스, 액션, 판타지",(2010),"토론토에 살고 있는 스콧은 보잘것 없는 록밴드 Sex Bob-omb의 베이시스트로 밴드 멤버인 스티븐, 킴, 닐과 연주를 하며 하루하루를 살아간다. 게이 친구인 월레스의 집에 얹혀 살아가는 그는 언젠가 자신의 밴드가 유명해질 것이라는 희망을 품고 있다. 중국인 여자친구 니브가 있음에도 불구하고 그는 꿈속에서 만난 여인으로 인해 혼란을 겪는다. 그런데 꿈속에서 봤던 이상형의 여자 라모나가 눈앞에 나타나고, 스콧은 우연을 가장한 데이트를 통해 그녀와 점점 가까워진다. 어느 날 공연장에서 갑작스럽게 자신을 공격하는 인도인을 만나고 결투 끝에 제압하지만 그가 라모나의 7명의 전 남자친구 중 하나였다는 사실을 알게 된다. 또한 그들과의 결투에서 이겨야만 라모나를 계속 만날 수 있다는 것. 그들은 스콧을 죽이려고 덤벼들고 스콧은 사랑을 얻기 위해, 그리고 살기 위해 그들과 대결을 펼쳐야하는데...",7.5 (435k),15+
153,에린 브로코비치,드라마,(2000),"에린은 두 번의 이혼 경력과 16달러의 은행 잔고가 가진 것의 전부인 여자. 마땅한 일자리도 없어 당장의 생계를 걱정해야하는 상황. 직업 소개소에도 가보고, 직접 찾아가거나 전화를 해보지만 고졸에다 뚜렷한 자격증도 경력도 없는 그녀를 오라는 곳은 없었다. 절망에 빠진 에린은 차 사고로 알게 된 변호사 에드를 무턱대고 찾아가 어떤 잡무라도 닥치는대로 하겠다며 눌러 앉는다. 맘좋은 에드는 하는 수 없이 에린에게 장부정리 일을 시키지만 학벌도 빽도 없는 그녀의 버릇없고 거친 태도와 속 옷이 다 드러나는 차림새가 동료 변호사들의 눈에 거슬린 건 당연한 일. 하지만 에린은 남의 시선일랑 무시한 채 당당하게 자신의 일에 몰두한다. 그러던 어느날 에린은 수북히 쌓인 서류 중에서 이상한 의학기록들을 발견한다. 그 일에 흥미를 느낀 에린은 진상을 조사하며 엄청난 사실을 발견하는데 바로 그 마을에 들어서 있는 대기업 PG&E의 공장에서 유출되는 크롬성분이 마을 사람들을 병들게 하고 있었던 것. 에린은 에드의 도움을 받아 거대기업을 상대로 한 미국 역사상 최대의 전쟁을 시작하게 되는데.",7.4 (203k),15
154,오페라의 유령: 25주년 특별 공연,"로맨스, 드라마, 스릴러, 음악",(2011),"유령이 있다는 소문이 도는 파리의 오페라 하우스. 새로운 오페라 한니발의 리허설이 한창이다. 리허설 도중 또 다시 무대 장치가 떨어지는 사고가 발생하자 주인공인 칼롯타는 무대에 설 수 없다며 공연을 거부한다. 발레 감독인 마담 지리는 무용수인 크리스틴을 추천하고, 그녀는 모두의 우려와는 달리 멋지게 공연을 해낸다. 공연을 본 오페라 하우스의 새로운 재정 후원자 라울은 크리스틴이 어린 시절 소꿉 친구였다는 사실을 알아챈다. 공연을 축하하러 온 라울이 잠시 자리를 비운 사이 크리스틴은 하얀 가면으로 얼굴을 가린 팬텀에게 이끌려 거울 속 미궁으로 사라지는데...",8.8 (9k),12+
155,브이 포 벤데타,"SF, 드라마, 스릴러, 액션",(2006),"어느 날 밤 이비라는 소녀가 위험에 처하자 어디선가 한 남자가 나타나 놀라운 전투력으로 그녀의 목숨을 구해준다. 옛날 국회의사당을 폭파하려다 사형당한 가이 포크스의 가면을 쓰고 모든 것을 압도하는 카리스마를 가진 남자는 V라는 이니셜로만 알려진 의문의 사나이. 맥베스와 헨리 5세의 대사들을 인용하고, 현실세계의 아픔을 노래한 윌리엄 블레이크의 시를 읊으며 악을 응징하는 V는세상을 구할 혁명을 계획하고 있다. V의 숨겨진 과거를 알아가는 동안 자신에 관한 진실을 깨달아가는 이비는 점점 V에게 이끌려 그의 혁명에 동참하게 된다.",8.2 (1m),15
156,세상의 모든 계절,"드라마, 코미디",(2010),"런던에 사는 노부부 톰과 제리는 소박하지만 행복한 일상을 보낸다. 과거의 잘못된 선택과 그로 인한 상처로 힘들어하는 제리의 직장동료 메리, 퇴직을 앞두고 삶의 기쁨을 찾지 못하는 톰의 친구 켄 등 부부는 주위의 가족과 친구들의 외로움과 슬픔, 기쁨과 행복을 함께하는 벗이 되어 준다. 그러던 어느날 아들 조이가 여자친구 케이티를 소개하는 자리에 갑자기 메리가 찾아오고, 그녀는 그간 말하지 않았던 자신의 속마음을 드러내는데...",7.4 (30k),12+
157,더 헌트,"드라마, Made in Europe",(2012),"이혼 후, 고향으로 내려온 유치원 교사 루카스는 새로운 여자친구를 사귀며 아들 마커스와 함께 하는 행복한 삶을 꿈꾸고 있다. 그러던 어느 날, 루카스를 둘러 싼 한 소녀의 사소한 거짓말이 전염병처럼 마을로 퍼지고, 억울한 누명을 쓰게 된 루카스는 마을 사람들의 불신과 집단적 폭력 속에서 자신의 삶을 지키기 위한 외로운 싸움을 시작한다.",8.3 (336k),15
158,트로이,"액션, 역사, 전쟁, 애니메이션, 드라마, Made in Europe",(2004),"고대 그리스 시대, 가장 잔인하고 불운한 사랑에 빠지고 만 비련의 두 주인공 트로이의 왕자 파리스와 스파르타의 왕비 헬레네. 사랑에 눈 먼 두 남녀는 트로이로 도주하고, 파리스에게 아내를 빼앗긴 스파르타의 왕 메넬라오스는 미케네의 왕이자 자신의 형인 아가멤논에게 복수를 부탁한다. 아가멤논은 그리스 도시 국가들을 규합해 트로이로부터 헬레네를 되찾기 위한 전쟁을 일으킨다. 그러나 전쟁의 명분은 동생의 복수였지만, 진짜 이유는 모든 도시 국가들을 통합하여 거대한 그리스 제국을 건설하려는 야심이었다.",7.3 (543k),15
159,다크 나이트,"액션, 범죄, 스릴러, 드라마",(2008),"범죄와 부정부패를 제거하여 고담시를 지키려는 배트맨. 그는 짐 고든 형사와 패기 넘치는 고담시 지방 검사 하비 덴트와 함께 도시를 범죄 조직으로부터 영원히 구원하고자 한다. 세 명의 의기투합으로 위기에 처한 악당들이 모인 자리에 보라색 양복을 입고 얼굴에 짙게 화장을 한 괴이한 존재가 나타나 배트맨을 죽이자는 사상 초유의 제안을 한다. 그는 바로 어떠한 룰도, 목적도 없는 사상 최악의 악당 미치광이 살인광대 조커. 배트맨을 죽이고 고담시를 끝장내버리기 위한 조커의 광기 어린 행각에 도시는 혼란에 빠지는데...",9.0 (2m),15
160,플라이트 93,"드라마, 스릴러, 액션, 역사, Made in Europe",(2006),"무역센터, 펜타곤에 연쇄 충돌한 3대의 민항기, 세계를 발칵 뒤집은 9.11 테러사건! 그러나 그날, 납치된 비행기는 총 4대였다... 따뜻하고 평온한 분위기가 감도는 뉴저지 공항. 새로운 국장의 취임으로 화기애애한 분위기의 미국연방항공국. 민항기들을 인도하고 진로를 체크하느라 바쁜 아침을 보내고 있는 관제센터. 편안한 하루의 시작을 알리듯 고요한 9월 11일 오전. 그러나 갑작스레 항로를 이탈하기 시작한 민항기로 평온에 금이 가기 시작한다. 보스턴에서 L.A로 향하는 아메리칸 항공 'AA11'편이 예고 없이 항로를 이탈하고, 관제센터가 교신을 시도하지만 아무런 응답이 없다. 그 순간 들려온 이국적인 말투의 짧은 교신, ""우리는 비행기들을 납치했다!"" 다급해진 관제센터는 테러집단에게 납치된 ""비행기들""을 찾아야만 한다. 美 영공에 떠있는 민항기는 총 4200대! 군과 항공국은 납치된 것으로 추정되는 민항기들을 찾기 시작한다. 뉴욕 근처에서 갑자기 레이더망에서 사라진 'AA11'편. 그 시각, CNN에서는 뉴욕의 상징인 세계무역센터에 비행기가 충돌했다는 충격적인 뉴스가 보도된다. 세계무역센터에서 불길과 연기가 치솟고 있는 가운데 또 다른 민항기가 재차 충돌하고, 이어 국방부 펜타곤에도 민항기가 추락한다. 미국 전역은 아수라장으로 변하고, 뉴욕은 극도의 공포로 마비된다. 같은 시각, 뉴저지에서 샌프란시스코를 향하고 있는 '유나이티드93'편의 승객들은 지상에서 무슨 일이 일어났는지도 모른 채 평온한 비행을 하고 있다. 하지만 승객으로 위장한 테러집단들이 행동을 개시, 비행기를 장악하자 공포에 휩싸이고, 가족들에게 마지막 목소리를 전하며 눈물을 흘리던 승객들은 오직 살기 위해 테러집단에 맞설 준비를 시작하는데... 9월 11일, 네번째 비행기에서는 과연 무슨 일이 벌어졌던 것인가. 충격과 아픔으로 가득한 숨겨진 그 날의 비극이 재현된다!",7.6 (107k),15
161,더 게이트,"드라마, 스릴러, Made in Europe",(2018),"전 국민에게 촉망받던 유능한 정치가 마누엘. 그의 카리스마와 호화로운 삶 이면에는 부정부패한 권력이 숨어있었다. 결국, 마누엘과 그가 속한 정당의 비리가 폭로되고, 최악의 정치 스캔들이 터진다. 그러나 함께하던 당원들이 그에게 등을 돌리기 시작하고, 마누엘은 어느덧 모든 비리를 덮어쓸 희생양이 될 위기에 처하는데… 그들의 왕국이 무너지기 시작했다!",7.1 (8k),15
162,007 스카이폴,"스릴러, 액션",(2012),"상관 M의 지시에 따라 현장 요원 이브와 함께 임무를 수행하던 제임스 본드는 달리는 열차 위에서 적과 치열한 결투를 벌이다 M의 명령으로 이브가 쏜 총에 맞고 추락하여 실종된다. 이에 임무가 실패로 끝나자 전세계에서 테러단체에 잠입해 임무를 수행 중이던 비밀 요원들의 정보가 분실되고 MI6는 사상 최대의 위기에 빠진다. 설상가상으로 M의 과거에 얽힌 비밀로 인해 미스터리한 적 실바에게 공격을 받은 MI6는 붕괴 위험에 처하게 되고, 이 사건으로 인해 M은 책임 추궁을 당하며 퇴출 위기에 놓인다. 이 때 죽음의 고비에서 부활한 제임스 본드가 M의 곁으로 다시 돌아오는데...",7.8 (704k),15
163,문라이즈 킹덤,"코미디, 드라마, 가족, 로맨스",(2012),"사고로 가족을 잃고 위탁가정을 전전하는 카키 스카우트의 문제아 샘. 부유한 가정에서 자랐지만 친구라곤 라디오와 책, 고양이밖에 없는 외톨이 수지. 1년 전 교회에서 샘은 까마귀 분장을 한 수지에게 한눈에 반하게 되고, 그 후 둘은 펜팔을 통해 상처와 외로움을 나누며 점점 가까워진다. 서로를 보듬어주는 유일한 소울메이트이자 연인이 된 샘과 수지는 둘만의 아지트를 찾아 떠나기로 결심하고, 필요한 준비물들을 챙겨 약속 장소로 향한다. 몇 시간 후 샘과 수지의 실종사건으로 인해 뉴 펜잔스 섬은 발칵 뒤집히고, 수지의 부모님과 카키 스카우트 대원들은 둘의 행방을 찾아 수색작전을 벌이기 시작하는데...",7.8 (354k),15
164,매드 맥스: 분노의 도로,"액션, SF, 스릴러",(2015),"핵전쟁으로 멸망한 22세기. 얼마 남지 않은 물과 기름을 차지한 독재자 임모탄 조가 살아남은 인류를 지배한다. 한편 아내와 딸을 잃고 살아남기 위해 사막을 떠돌던 맥스는 임모탄의 부하들에게 납치되어 노예로 끌려가고, 폭정에 반발한 외팔의 사령관 퓨리오사는 인류 생존의 열쇠를 쥔 임모탄의 여인들을 탈취해 분노의 도로로 폭주한다. 이에 임모탄의 전사인 워보이들과 신인류 눅스는 피주머니 신세로 전락한 맥스를 이끌고 퓨리오사의 뒤를 쫓는데...",8.1 (1m),15
165,보일링 포인트,"드라마, 스릴러",(2021),"365일 중 가장 바쁜 크리스마스, 런던의 고급 레스토랑. 셰프 ‘앤디’는 사고 없이 음식과 직원, 손님 모두를 살펴야 한다. 쏟아지는 주문으로 정신없는 가운데 반갑지 않은 위생 관리관의 급습과 입맛 까다로운 평론가의 눈치까지 보게 되고, 여기에 상황을 아는지 모르는지 직원들은 서로 싸우기까지 한다. 도저히 통제되지 않는 현장에 ‘앤디’는 점점 끓어오르기 시작하는데…",7.5 (31k),15
166,크리스마스 대소동,"코미디, Made in Europe",(1989),"클라크 오스왈드(Clark Wilhelm Griswold, Jr.: 체비 체이스 분)는 식품회사에 근무하는 고급 간부로써 가족의 화목과 단결을 최고의 덕목으로 생각하는 가정적인 남자다. 그는 올 크리스마스를 즐겁게 보내기 위해 친지들을 모두 초청한다. 또 크리스마스 보너스를 많이 탈 걸로 생각하고 수영장을 파기 위해 이미 선금을 지불한 상태다. 온 집 둘레에 전구를 설치하느라 지붕에서 떨어지고 불이 들어오게 갖은 고생을 하는 등 그의 지나친 열의는 가족들을 피곤하게 하고 옆집 사람들을 곤경에 처하게 한다. 클라크의 친부모 시니어와 로라 그리고 장인 장모까지 만나기만 하면 싸운다. 게다가 클라크의 어릴 적부터의 친구이자 머리가 좀 모자라는 에디(Eddie: 랜디 퀘이드 분)의 가족들이 들이닥치면서 이 집은 완전히 아수라장으로 변한다. 더우기 사장 프랭크(Mr. Frank Shirley: 브라이언 도일-머레이 분)가 올 크리스마스 보너스를 전면 동결 시키자 크리스마스 이브에 이를 안 클라크는 세상이 싫어진다. 그러나 클라크네 가족들은 즐거운 크리스마스를 보내기 위해 노력한다. 친구의 속상한 마음을 안 에디는 사장 프랭크를 납치해 클라크 앞에 데려다 준다. 그후 사장은 자신의 행동을 뉘우치고 다시 보너스를 주게 된다. 결국 모든이들은 진정한 크리스마스의 의미를 깨닫는다.",7.5 (203k),12+
167,그리스,"로맨스, 코미디",(1978),"1950년대말, 캘리포니아에 있는 한 고등학교. 대니 주코(Danny Zuko: 존 트라볼타 분)와 샌디 올슨(Sandy Olsen: 올리비아 뉴튼 존 분)은 여름 방학 때 해변에서 우연히 알게 된 사이로 바캉스 시즌이 끝나자 두 사람은 기약없이 작별하지만 대니가 다니는 고등학교에 샌디가 전학해 오면서 뜻밖의 재회가 이루어진다. 내심 기뻤던 대니지만 학교의 서클인 티버즈의 리더인 그가 어느 특정한 여자에게 가까이 하면 친구들의 빈촉을 살까봐 이러지도 저러지도 못한다. 이런 대니의 마음을 모른는 샌디는 오해를 해 스포츠에 만능인 톰과 친하게 지낸다. 이에 쇼크를 받은 대니는 샌디에게 용서를 빌어 가까스로 샌디의 마음을 되돌려 놓는다. 바야흐로 학교의 최대 행사인 댄스 파티가 열리자 대니와 샌디는 한조가 되어 출전, 결승전까지 진출하지만 티버즈의 라이벌인 스코피언스의 리더인 차차의 방해로 우승을 놓친다. 화가 난 샌디에게 야외 극장에서 대니는 자기의 반지를 빼주며 샌디의 마음을 바꾸지만 샌디의 몸을 강요한게 그녀를 더 토라지게 만들고 말았다. 드디어 티버즈와 숙적인 스콜피온스 간에 카레이스로 결판을 내는 날이다. '선더로드 경주'라는 이름의 이 시합에서 차차는 비겁한 수단으로 골탕을 먹이지만 이를 잘 피해 대니가 이기는데 이를 가슴조이며 지켜보던 샌디는 대니의 품에 안긴다. 이윽고 고등학교 졸업식이 왔다. 졸업 파티가 성대하게 벌어지고 정장을 하고 머리에다 그리이스를 발라 의젓해진 대니와 샌디는 빨간 승용차를 타고 다정하게 교문을 나선다. 축하무드가 절정을 이루며 뒤를 따르는 동창생들.",7.2 (283k),12+
168,코치 카터,"드라마, 스포츠, Made in Europe",(2005),"70년대에 리치몬드 고교 농구팀의 스타로 이름을 날렸던 ‘켄 카터’ (사무엘 잭슨 분) . 이제 중년이 된 그는 스포츠용품 점을 경영하며, 역시 고교 농구 선수인 아들 데미언의 장래를 걱정하는 평범한 아버지로 살아가고 있다. 그런 그에게 모교의 농구팀 코치를 맡아달라는 제의가 들어오고, 카터는 망설임 끝에 코치 자리를 수락한다. 캘리포니아 주에서도 주로 가난한 흑인들이 거주하는 리치몬드의 흑인 아이들은 대부분 학업을 중도에 포기하고 빗나간 인생 길을 걷는 일이 비일비재하다. 카터 코치는 반항적이고 제멋대로인 아이들만 모아놓은 듯한 리치몬드 고교 농구 팀을 맡아, 마음 속에 두 가지 목표를 세운다. 하나는 4년째 최하위 팀에 머물고있는 리치몬드 농구부에 옛날의 영광을 되찾아주는 일. 또 하나는 목표도 없이 방황하는 농구부 아이들이 지금보다 더 나은 삶을 살아갈 수 있도록 제대로 학교를 졸업 시키고, 대학에 진학시키는 일. 카터는 첫 목표의 달성을 위해 아이들에게 혹독한 훈련을 시키고 규율을 따르도록 가르친다. 그리고 두 번째 목표를 위해, 아이들이 학생으로서 먼저 학업에 충실하도록 엄격한 기준을 정해 반 강제적으로 공부를 시킨다. 대쪽 같은 성격으로 자신의 신념을 밀어 부치는 카터의 교육 방식은 처음부터 학생과 학부모, 그리고 학교 선생들의 반감을 사게 되는데………",7.3 (156k),15+
169,줄무늬 파자마를 입은 소년,"전쟁, 드라마, 역사",(2008),"2차 대전을 배경으로 나치 장교의 아들이었던 소년 브루노가 아빠의 전근으로 베를린에서 폴란드로 이사를 가게 되는데 그의 아빠는 그저 군인이 아닌 나치의 최고 엘리트 장교 중 한 명. 농장이라고 생각했던 곳은 유대인들이 홀로코스트의 학대를 받은 아우슈비츠다. 숲 속을 거닐던 브루노는 철조망을 발견하게 되고 슈무얼이라는 동갑내기 유대인 소년을 만나 친구가 된다. 전쟁, 학살이라는 말조차 인식하지 못하는 순진무구한 소년들의 우정은 끔찍한 결말을 가져오게 되는데...",7.7 (225k),12+
170,오블리비언,"스릴러, 액션, SF, Made in Europe",(2013),"인류는 외계인의 침공에 맞서 승리했지만 핵을 사용한 대가로 지구는 죽음의 별이 되었다. 2077년 폐허가 된 지구상에 살아 있는 사람은 마지막 정찰병 잭 하퍼(톰 크루즈)와 그의 파트너 빅토리아(안드레아 라이즈보로)가 전부다. 두 사람의 임무는 지구에 남아 있는 외계인 잔당들로부터 발전탑을 지키고 있는 드론을 수리하고 관리하는 것. 2주 뒤면 임무를 마치고 귀환하기로 되어 있는 잭 하퍼의 앞에 어느 날 정체불명의 우주선이 추락한다. 잭은 그곳에서 자신도 기억하지 못하는 자신의 과거를 알고 있는 여인 줄리아(올가 쿠릴렌코)를 만나고, 이후 모든 것에 의문을 품기 시작한다.",7.0 (533k),15+
171,스위스 아미 맨,"판타지, 로맨스, 코미디, 드라마",(2016),"행크는 외딴 섬에 표류 중으로, 집에 돌아갈 모든 희망을 포기한 상태.  하지만 어느 날 매니라는 이름의 시체가 해변으로 떠밀려 온 후, 모든 것이 달라진다.  둘은 빠른 속도로 친구가 되고, 행크의 이상형에게로 돌아갈 대모험을 시작한다.",7.0 (113k),15+
172,콘택트,"SF, 스릴러, 드라마",(1997),앨리 에로위(조디 포스터)는 어렸을 적 외계인으로부터 교신을 받은 기억을 지니고 사는 소녀이다. 그녀는 성장하면서도 계속 그 믿음을 지녀 밤마다 모르는 상대와의 교신을 기다리며 단파 방송에 귀를 기울인다. 아버지가 돌아가신 후 자신이 찾고자 하는 절대적인 진리의 해답은 과학에 있다고 믿는 그녀. 천문학자가 된 엘리는 그리움의 대상을 우주 어딘가의 외계생명체에서 찾는다. 마침내 그가 포착한 베가성에서 온 신호는 은하계를 넘나드는 운송수단의 설계도였고 세계는 혼돈에 휩싸이게 되는데...,7.5 (279k),12+
173,디 아더스,"공포, 스릴러, Made in Europe",(2001),"2차 대전이 막 끝난 1945년, 영국 해안의 외딴 저택. 전쟁에서 남편을 잃은 독실한 천주교도 그레이스(니콜 키드먼)와 빛에 노출되면 안되는 희귀병을 가진 두 아이가 살고 있다. 어느 날, 예전에 이 저택에서 일한 적이 있다는 세 명의 하인들이 들어오게 된다. 그레이스는 두 아이를 빛으로부터 지키기 위해 커튼은 항상 쳐져 있어야 하고, 문은 항상 잠겨있어야 한다는 '절대 규칙'을 하인들에게 가르친다. 이와 때를 같이 해서 저택에는 기괴한 일들이 끊이지 않는다. 아무도 없는 방에서 발자국 소리가 들리고, 피아노가 갑자기 연주된다. 또한 딸 앤은 이상한 남자아이와 할머니가 이 집에 머물고 있다는 얘기를 반복한다. 신에 대한 믿음이 너무나 강한 그레이스는 그런 딸의 말을 인정하지 않지만 두려움은 점점 그 무게를 더해만 간다. 마침내 그레이스는 그들을 위협하는 공포의 실체와 마주하게 되는데...",7.6 (372k),12+
174,캡틴 판타스틱,"액션, 드라마, 코미디",(2016),"벤(비고 모르텐슨)은 깊은 숲속에서 여섯 아이들을 홀로 키우고 있다. 벤은 아이들에게 홈스쿨링을 한다. 아이들은 사냥과 채집은 물론 여러 나라의 언어와 헌법, 철학에도 정통하다. 하지만 벤과 아이들의 가슴 한구석엔 어머니의 빈자리가 늘 남겨져 있다. 그러다 어느 날 아이들은 어머니의 부고를 듣는다. 벤과 아이들은 아내의, 엄마의 장례식에 참석하기 위해 도시로의 여정을 떠난다. 줄곧 자신들이 공동으로 구축한 세계에서만 살던 아이들은 낯선 자극에 쉽게 흔들리고 마음을 뺏긴다. 미지의 것들로 가득한 도시는 쉼없이 아이들을 매혹하는데...",7.8 (222k),15+
175,블라인드 사이드,"드라마, 스포츠",(2009),"어린 시절 약물 중독에 걸린 엄마와 강제로 헤어진 후, 여러 가정을 전전하며 커가던 ‘마이클 오어’. 건장한 체격과 남다른 운동 신경을 눈여겨 본 미식축구 코치에 의해 상류 사립학교로 전학하게 되지만 이전 학교에서의 성적 미달로 운동은 시작할 수도 없게 된다. 급기야 그를 돌봐주던 마지막 집에서조차 머물 수 없게 된 마이클. 이제 그에겐 학교, 수업, 운동보다 하루하루 잘 곳과 먹을 것을 걱정해야 하는 날들만이 남았다.",7.6 (339k),12+
176,비겁한 로버트 포드의 제시 제임스 암살,"드라마, 서부, 역사, 범죄",(2007),"미국 전역을 떠들썩하게 하는 악당 제시 제임스(브래드 피트)는 청년 로버트 포드(케이시 애플렉)의 우상이자 동경의 대상이다. 그의 업적을 적은 책들을 사보며 그와 같이 되고 싶어하는 로버트 포드는 우연한 기회에 제시 제임스 갱단의 일원이 될 기회를 얻는다. 실제 가까이에서 본 제시는 다소 다혈질적이고 책에서와 같이 마냥 전설적인 행동만 하는 것이 아님을 알게 된 로버트 포드는 점점 그에게 실망하게 되고, 자신의 형과 자신의 실수로 인해 언제 제시에게 살해당할지 모른다는 두려움으로 그를 살해할 계획을 세우게 된다.",7.5 (185k),15+
177,아라비아의 로렌스,"역사, 전쟁, 액션, 드라마",(1962),영국 정보국 소속 장교 로렌스 는 1차대전 중 중동지역의 전투에서 아랍 부족의 지원을 받기 위해 아랍 지역으로 파견된다. 그런데 그는 영국 정부가 바라던 것 이상으로 아랍의 지도자들을 사로 잡고 아랍의 독립을 위해 열심히 싸워 아랍 민족으로 부터 ‘아라비아의 로렌스’라는 영웅적인 칭호를 받게 된다. 그는 아랍 전사들을 이끌고 터키군들과 싸우면서 규율을 잡기 위해 남의 마을의 우물물을 마신 병사를 과감히 처형하는 등 독한 모습을 보여준다. 그러나 그의 그런 용맹성은 터키 군에게 포로로 잡힌 후 그곳에서 받은 성적 학대를 통해 병적으로 발전된다. 그리고 마침내 영국 정부의 소환을 받고 런던으로 돌아오지만 중동으로 보내 줄 것을 요구하면서 사막으로 돌아가길 원한다. 그러나 이미 정치적으로 타결이 된 아라비아 사막은 그를 원치 않았는데.,8.3 (297k),15
178,미친 능력,"코미디, 범죄, 액션, 스릴러",(2022),"이번에는 진짜 제대로 컴백? 왕년에 잘나가던 슈퍼스타에서 누구에게도 인정받지 못하는 빚쟁이 신세가 된 ‘닉 케이지’ 그런 그에게 생일 파티 참석을 조건으로 기꺼이 백만 달러를 주겠다는 슈퍼팬 ‘하비’(페드로 파스칼)가 등장한다. 스타로서의 자존심과 어마어마한 제안 사이에서 갈등하던 ‘닉 케이지’는 결국 생일 파티가 열리는 곳으로 향한다. 도착과 동시에 초호화 환대를 받고 행복한 휴양을 보내던 그는 의문의 CIA로부터 납치되고, ‘하비’가 악명 높은 수배범인 사실을 듣게 된다. CIA로부터 가족을 빌미로 위험한 미션을 강요받은 ‘닉 케이지’는 설상가상 예기치 못한 사건들에 휘말리게 되는데…",7.0 (102k),15+
179,클로버필드,"스릴러, 공포, SF, 액션",(2008),"일본으로 떠나는 롭을 위한 뉴욕시내의 송별 파티장. 친구 허드는 떠나는 롭에게 전할 마지막 인사를 캠코더에 담느라 분주하다. 파티의 분위기가 무르익을 무렵, 어디선가 알 수 없는 괴성이 들려오며 파티장은 순식간에 암흑에 휩싸이고, 지진이 발생한 듯 도시 전체가 요란하게 흔들린다. 당황한 일행 중 누군가가 급히 TV를 켜자, 뉴스에서는 ‘정체불명의 거대괴물이 맨해튼 시내를 무자비하게 파괴하고 있다! 즉시 대피하라!’는 뉴스만이 반복된다. 다급히 옥상으로 올라가 바깥상황을 살펴본 롭과 일행은 처참히 파괴되어가는 도시와 ‘그 놈’이 날려버린 자유의 여신상의 머리가 길바닥에 나뒹구는 사태를 바라보며 놀라움을 금치 못한다. 절체절명의 위기 속에서 다급해진 롭은 미들타운에 사는 여자친구 베스에게 연락을 취하지만, 불통이다. 친구들의 만류에도 분류하고 롭과 일행은 베스를 구하러 미들타운으로 향하는데…",7.0 (405k),15
180,파워 오브 원,"드라마, 스포츠, Made in Europe",(1992),"남아프리카 공화국이 독립하기 18년전인 1930년, 농장에서 살던 어린 소년 PK는 일찌기 부모를 잃고 고아가 된다. 그래서 농장을 떠나 기숙학교를 들어가는데, 주로 독일계 백인들이 있는 이 학교는 영국인의 무자비한 통치에 대한 보복으로 어린 PK를 학대한다. 이곳을 떠나 다시 영국인들의 학교로 옮긴 PK는 두 사람을 만나게 되는데 독일계 백인인 닥에게서는 인생을 배우고, 원주민 흑인에게서 권투를 배운다. 그러던중 PK는 국적과 인종이 다르기 때문에 인간이 서로 미워하는 현실에 분노한다. 결국 그는 자신도 모르는 사이에 인종차별을 철폐하는 운동의 선두에 선투사가 된다.",7.1 (10k),15
181,비긴 어게인,"음악, 드라마, 로맨스, 코미디",(2014),"싱어송라이터인 그레타는 남자친구 데이브가 메이저 음반회사와 계약을 하게 되면서 뉴욕으로 오게 된다. 그러나 행복도 잠시, 오랜 연인이자 음악적 파트너로서 함께 노래를 만들고 부르는 것이 좋았던 그레타와 달리 스타가 된 데이브의 마음은 어느새 변해버린다. 스타 음반프로듀서였지만 이제는 해고된 댄은 미치기 일보 직전 들른 뮤직바에서 그레타의 자작곡을 듣게 되고 아직 녹슬지 않은 촉을 살려 음반제작을 제안한다. 거리 밴드를 결성한 그들은 뉴욕의 거리를 스튜디오 삼아 진짜로 부르고 싶었던 노래를 만들어가는데...",7.4 (159k),15
182,옛날 옛적 서부에서,"드라마, 서부, Made in Europe",(1968),"프랭크가 보낸 세명의 총잡이가 기차역에서 누군가를 기다린다. 드디어 그들이 기다리던 한 남자가 하모니카를 불며 기차역에 도착하고, 그들 세 총잡이는 모두 이름 없는 그 남자의 총에 쓰러진다. 한편, 프랭크와 그 부하들은 아일랜드 출신인 맥베인 일가를 잔인하게 살해하는데, 뉴올리언즈에서 이제 막 도착한 맥베인의 새 아내 질로서는 황망할 수밖에 없다. 두 사람은 한달 전 이미 결혼을 한 상태였다. 다시 뉴올리언즈로 돌아가려던 질은 마음을 고쳐먹고 맥베인과 아이들의 시체만 있는 그 집에서 혼자 생활을 시작한다.",8.5 (333k),15
183,배드 타임즈: 엘 로얄에서 생긴 일,"스릴러, 드라마, 범죄",(2018),베트남전 당시 미국사회의 혼란상을 풍자한 스릴러 영화,7.1 (154k),15+
184,월플라워,"드라마, 로맨스",(2012),"말 못할 트라우마를 가지고 자신만의 세계에 갇혀있던 ‘찰리’는 고등학교 신입생이 돼서도 친구들과 어울리지 못한 채 방황한다. 그러던 어느 날, 타인의 시선 따위는 신경 쓰지 않고 삶을 즐기는 ‘샘’과 ‘패트릭’ 남매를 만나 인생의 새로운 전환을 맞이한다. 멋진 음악과 친구들을 만나며 세상 밖으로 나가는 법을 배워가는 ‘찰리’. 자신도 모르는 사이 ‘샘’을 사랑하게 된 그는 이제껏 경험한적 없는 가슴 벅찬 나날을 보낸다.",7.9 (520k),15
